"","V1","V2","V3","V4"
"1",4.37364980556063,1.74629285622502,2.36583322470224,6.19321233389815
"2",6.30903794794387,-1.03268147606077,2.93142178409643,5.56531789179331
"3",4.86702314924665,1.488284171046,0.0932284024279055,6.91326709658932
"4",3.39229577348259,1.7438344587857,2.05198852398892,7.79338809206353
"5",3.6923583548417,0.00801523419400807,1.15150022794989,6.99660510683355
"6",4.95485131964985,1.18230768794789,1.63183258649759,7.10749048744809
"7",5.78889045992558,0.25302214082446,2.62469408002744,5.72191371714947
"8",4.5106577583865,0.797787572199364,3.22025917335132,7.01920548762508
"9",5.87016029853773,1.25612025149866,-0.23978281070623,6.04543717875714
"10",6.54522147195668,1.04370521177005,1.63132462976689,7.5757795926256
"11",4.68023795377009,0.0114942257285531,1.91291434239167,6.21828845087838
"12",5.53767651131782,2.48226830631184,3.34197156933065,4.95346465795441
"13",6.03683653225209,0.773905666940145,3.69407992718112,5.71131135185077
"14",1.96745860223107,0.762851584275512,2.64950208109435,6.48155028526132
"15",5.56691879496879,0.617367634734251,2.3661826873959,4.78362357297811
"16",4.94506837456286,3.5616329884223,1.69162963609677,6.30813689628972
"17",5.87361628847212,0.218271317113594,2.51456713179674,5.47982168502595
"18",5.2623384426461,-0.937178895721506,1.09887903971435,5.55768619926257
"19",5.017849269891,0.875861650425033,2.19565881057142,5.40068718802406
"20",2.30418173175043,1.75318338818184,1.84266063305417,7.29457782880066
"21",5.74909319409575,0.932066654492255,0.769115305481411,6.83539124739061
"22",4.94464495056535,0.104402158090364,2.47773517795878,5.43398490029833
"23",3.46129738259274,-0.69810839594979,1.96101844803799,6.78841935003471
"24",4.62180529740221,2.66055490872487,1.7790228250546,4.83407067448791
"25",5.41749418466783,-0.310787963520599,1.93010177449088,5.46917999374094
"26",5.90172370755723,0.679683173913879,0.868978702317304,5.99894126325745
"27",4.92139742874601,0.0226665580207608,4.17856309013427,5.48743763485989
"28",3.76211368652125,2.42927646778249,2.0284597504488,7.24286751251657
"29",4.67945392304054,2.32002682830845,3.25264495002628,5.33941714859759
"30",6.26413009302484,1.12462559574228,2.2563622499658,6.16662421480456
"31",7.32099355799597,1.49328717922413,1.79271039063317,5.44679475985789
"32",4.6588492856361,1.17110429923396,2.69752642043184,6.09818141479016
"33",2.82163276795091,0.802183609528862,2.70427295652995,4.85333414006127
"34",4.58673851109807,1.85548144989934,1.0493215584824,4.75007274347188
"35",4.38188863435831,1.69138467115507,2.19177768464766,5.7978883174351
"36",6.05825579992258,2.84290598776307,3.52536338000138,6.17750032484243
"37",4.98827774793369,1.52859100121563,2.86037513000414,7.30764732083471
"38",5.44441862792073,2.66139296632551,2.99167528070661,4.65706459545147
